Postcode,Lat,Lon
BD1 1AA,53.79602,-1.75060
BD1 1AE,53.79575,-1.75097
BD1 1AF,53.79499,-1.75030
BD1 1AG,53.79350,-1.75326
BD1 1AH,53.79448,-1.74918
BD1 1AJ,53.80264,-1.75584
BD1 1AN,53.79567,-1.75016
BD1 1AW,53.79575,-1.75100
BD1 1BA,53.79319,-1.75212
BD1 1BG,53.79388,-1.74979
BD1 1BL,53.79416,-1.75249
BD1 1BX,53.79575,-1.75100
BD1 1BZ,53.79666,-1.75117
BD1 1DA,53.79397,-1.75166
BD1 1DB,53.79395,-1.75100
BD1 1DD,53.79459,-1.75036
BD1 1DE,53.79439,-1.75049
BD1 1DF,53.79418,-1.75055
BD1 1DG,53.79418,-1.75055
BD1 1DH,53.79434,-1.74926
BD1 1DJ,53.79443,-1.74958
BD1 1DL,53.79413,-1.75358
BD1 1DN,53.79443,-1.74958
BD1 1DP,53.79387,-1.74926
BD1 1DQ,53.79395,-1.75100
BD1 1DR,53.79415,-1.74835
BD1 1DT,53.79388,-1.74979
BD1 1DU,53.79381,-1.74946
BD1 1DW,53.79434,-1.74926
BD1 1DX,53.79305,-1.74949
BD1 1DY,53.79305,-1.74949
BD1 1DZ,53.79285,-1.75176
BD1 1EA,53.79397,-1.75166
BD1 1EB,53.79305,-1.75101
BD1 1ED,53.79354,-1.75043
BD1 1EE,53.79348,-1.75102
BD1 1EF,53.79306,-1.75253
BD1 1EG,53.79457,-1.75137
BD1 1EH,53.79441,-1.75146
BD1 1EJ,53.79412,-1.75157
BD1 1EL,53.79396,-1.75252
BD1 1EP,53.79396,-1.75252
BD1 1EQ,53.80264,-1.75584
BD1 1ER,53.79397,-1.75166
BD1 1ES,53.79396,-1.75252
BD1 1ET,53.79396,-1.75252
BD1 1EU,53.79396,-1.75252
BD1 1EW,53.79396,-1.75252
BD1 1EX,53.79396,-1.75252
BD1 1EY,53.79377,-1.75086
BD1 1EZ,53.79360,-1.75119
BD1 1FB,53.80221,-1.75586
BD1 1FD,53.79666,-1.75117
BD1 1FF,53.80221,-1.75586
BD1 1FG,53.79413,-1.75358
BD1 1FH,53.79666,-1.75117
BD1 1FN,53.79666,-1.75117
BD1 1FW,53.80221,-1.75586
BD1 1HA,53.79401,-1.75137
BD1 1HB,53.79305,-1.74949
BD1 1HD,53.79216,-1.75405
BD1 1HE,53.79216,-1.75253
BD1 1HH,53.79315,-1.75109
BD1 1HJ,53.79353,-1.75210
BD1 1HL,53.79306,-1.75253
BD1 1HN,53.79361,-1.75231
BD1 1HP,53.79306,-1.75405
BD1 1HQ,53.79306,-1.75253
BD1 1HR,53.79216,-1.75253
BD1 1HS,53.79216,-1.75253
BD1 1HT,53.79216,-1.75253
BD1 1HU,53.79216,-1.75253
BD1 1HW,53.79361,-1.75231
BD1 1HX,53.79285,-1.75176
